name	state	zscore_1_65
Sumter County	Alabama	"{""age_15_19"": ""{county:9.2|state:6.6|us:6.5}"", ""age_20_24"": ""{county:14.1|state:6.6|us:6.7}"", ""in_retail"": ""{county:16.1|state:11.6|us:11.0}"", ""job_sales"": ""{county:29.4|state:21.5|us:21.3}"", ""race_black"": ""{county:71.4|state:26.6|us:12.6}"", ""units_mobile"": ""{county:34.2|state:13.0|us:6.0}"", ""grapi_35_more"": ""{county:59.1|state:38.8|us:40.0}"", ""value_50000_less"": ""{county:39.7|state:12.5|us:6.6}"", ""ancestry_american"": ""{county:36.6|state:16.2|us:5.9}"", ""income_10000_less"": ""{county:19.2|state:8.1|us:5.8}"", ""income_15000_24999"": ""{county:20.9|state:10.9|us:8.5}""}"
Talladega County	Alabama	
Tallapoosa County	Alabama	"{""edu_9_12"": ""{county:14.3|state:9.1|us:6.6}"", ""unemployed"": ""{county:5.8|state:3.2|us:3.4}""}"
Tuscaloosa County	Alabama	"{""age_15_19"": ""{county:9.3|state:6.6|us:6.5}"", ""age_20_24"": ""{county:10.5|state:6.6|us:6.7}"", ""units_5_9"": ""{county:6.5|state:4.2|us:4.6}"", ""units_10_19"": ""{county:7.9|state:3.3|us:4.3}"", ""built_2010_2013"": ""{county:6.8|state:3.9|us:2.7}""}"
Walker County	Alabama	"{""units_mobile"": ""{county:29.3|state:13.0|us:6.0}"", ""ancestry_american"": ""{county:21.6|state:16.2|us:5.9}""}"
Washington County	Alabama	"{""rooms_6"": ""{county:25.8|state:20.4|us:17.8}"", ""age_45_54"": ""{county:15.0|state:12.8|us:12.7}"", ""occupied_owner"": ""{county:89.5|state:69.2|us:64.4}"", ""in_construction"": ""{county:12.9|state:6.7|us:6.7}"", ""value_50000_less"": ""{county:32.1|state:12.5|us:6.6}""}"
Wilcox County	Alabama	"{""edu_9_12"": ""{county:15.5|state:9.1|us:6.6}"", ""age_10_14"": ""{county:9.1|state:6.4|us:6.5}"", ""race_black"": ""{county:70.3|state:26.6|us:12.6}"", ""unemployed"": ""{county:5.8|state:3.2|us:3.4}"", ""units_mobile"": ""{county:37.1|state:13.0|us:6.0}"", ""ancestry_arab"": ""{county:1.9|state:0.3|us:0.6}"", ""job_prod_transpo"": ""{county:28.3|state:17.2|us:13.1}"", ""value_50000_less"": ""{county:43.4|state:12.5|us:6.6}"", ""income_10000_14999"": ""{county:13.1|state:5.6|us:4.1}""}"
Winston County	Alabama	"{""edu_9_12"": ""{county:14.6|state:9.1|us:6.6}"", ""age_55_59"": ""{county:9.3|state:6.8|us:6.7}"", ""in_retail"": ""{county:15.5|state:11.6|us:11.0}"", ""units_mobile"": ""{county:30.9|state:13.0|us:6.0}"", ""job_prod_transpo"": ""{county:30.2|state:17.2|us:13.1}"", ""value_50000_less"": ""{county:30.7|state:12.5|us:6.6}"", ""in_transportation"": ""{county:12.0|state:5.5|us:5.5}""}"
Aleutians East Borough	Alaska	"{""rooms_2"": ""{county:6.6|state:7.3|us:2.8}"", ""employed"": ""{county:77.3|state:59.6|us:59.6}"", ""age_35_44"": ""{county:15.9|state:12.8|us:12.7}"", ""age_45_54"": ""{county:21.0|state:12.1|us:12.7}"", ""age_55_59"": ""{county:9.3|state:6.7|us:6.7}"", ""race_asian"": ""{county:24.0|state:6.4|us:5.6}"", ""race_mixed"": ""{county:11.1|state:9.3|us:5.2}"", ""age_16_over"": ""{county:88.8|state:77.7|us:80.1}"", ""age_18_over"": ""{county:86.9|state:75.1|us:77.6}"", ""age_21_over"": ""{county:84.7|state:71.5|us:73.5}"", ""grapi_15_19"": ""{county:28.6|state:14.9|us:13.0}"", ""race_native"": ""{county:40.8|state:14.6|us:0.8}"", ""rent_1000_1499"": ""{county:47.3|state:35.3|us:30.2}"", ""built_1980_1989"": ""{county:34.3|state:26.1|us:13.4}"", ""in_public_admin"": ""{county:14.0|state:11.8|us:4.7}"", ""ancestry_russian"": ""{county:7.6|state:1.2|us:0.8}"", ""in_manufacturing"": ""{county:47.4|state:3.8|us:10.0}"", ""job_prod_transpo"": ""{county:36.8|state:12.1|us:13.1}"", ""income_100000_149999"": ""{county:28.7|state:19.3|us:15.6}""}"
Aleutians West Census Area	Alaska	"{""rooms_1"": ""{county:7.7|state:6.0|us:2.3}"", ""rooms_2"": ""{county:8.0|state:7.3|us:2.8}"", ""units_2"": ""{county:18.5|state:5.4|us:3.5}"", ""employed"": ""{county:79.7|state:59.6|us:59.6}"", ""age_25_34"": ""{county:15.9|state:16.1|us:13.9}"", ""age_35_44"": ""{county:16.6|state:12.8|us:12.7}"", ""age_45_54"": ""{county:20.1|state:12.1|us:12.7}"", ""units_3_4"": ""{county:20.7|state:7.3|us:4.3}"", ""units_5_9"": ""{county:9.1|state:4.6|us:4.6}"", ""race_asian"": ""{county:41.0|state:6.4|us:5.6}"", ""race_mixed"": ""{county:10.4|state:9.3|us:5.2}"", ""income_mean"": ""{county:104029|state:98811|us:91547}"", ""rent_median"": ""{county:1476|state:1240|us:1096}"", ""units_10_19"": ""{county:6.4|state:2.7|us:4.3}"", ""race_pacific"": ""{county:3.0|state:1.4|us:0.2}"", ""grapi_15_less"": ""{county:36.2|state:14.5|us:13.4}"", ""income_median"": ""{county:87443|state:77790|us:64994}"", ""units_20_more"": ""{county:14.0|state:4.9|us:9.4}"", ""rent_1500_1999"": ""{county:27.3|state:18.9|us:14.9}"", ""rent_2000_2499"": ""{county:16.5|state:11.0|us:6.2}"", ""rent_3000_more"": ""{county:3.9|state:1.1|us:2.8}"", ""built_1940_1949"": ""{county:9.8|state:1.5|us:4.8}"", ""built_1970_1979"": ""{county:26.4|state:23.0|us:15.0}"", ""built_1980_1989"": ""{county:21.8|state:26.1|us:13.4}"", ""earnings_median"": ""{county:47064|state:40471|us:36280}"", ""occupied_renter"": ""{county:72.3|state:35.2|us:35.6}"", ""in_manufacturing"": ""{county:31.6|state:3.8|us:10.0}"", ""income_percapita"": ""{county:44164|state:37094|us:35384}"", ""job_prod_transpo"": ""{county:34.2|state:12.1|us:13.1}"", ""in_transportation"": ""{county:17.7|state:8.9|us:5.5}"", ""income_75000_99999"": ""{county:21.9|state:14.2|us:12.8}"", ""value_300000_499999"": ""{county:48.1|state:33.0|us:20.5}"", ""income_100000_149999"": ""{county:21.7|state:19.3|us:15.6}"", ""income_150000_199999"": ""{county:9.6|state:9.6|us:7.1}""}"
