name	rooms_1	rooms_2	rooms_3	employed	in_other	age_20_24	age_25_34	age_35_44	units_3_4	units_5_9	class_govt	race_black	unemployed	age_16_over	age_18_over	age_21_over	income_mean	rent_median	units_10_19	value_median	earnings_male	income_median	units_20_more	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	occupied_renter	ancestry_russian	built_2014_later	income_percapita	units_1_attached	ancestry_ukranian	built_1939_earlier	income_200000_more	value_1000000_more	edu_bachelor_degree	edu_bachelor_higher	value_500000_999999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_employed	rank_in_other	rank_age_20_24	rank_age_25_34	rank_age_35_44	rank_units_3_4	rank_units_5_9	rank_class_govt	rank_race_black	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_income_mean	rank_rent_median	rank_units_10_19	rank_value_median	rank_earnings_male	rank_income_median	rank_units_20_more	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_occupied_renter	rank_ancestry_russian	rank_built_2014_later	rank_income_percapita	rank_units_1_attached	rank_ancestry_ukranian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_500000_999999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Maryland	1.7	2.2	7.5	63.5	5.4	6.3	13.7	12.9	2.2	5.0	21.7	29.9	3.5	80.3	77.8	74.0	114236	1415	7.7	325400	66093	87063	9.3	1.9	27.1	10.8	3.6	2.5	5.2	56623	45841	19.1	15.8	10.9	47.2	32.9	1.1	3.2	43352	21.3	0.3	11.6	13.4	3.2	21.8	40.9	17.8	10.8	4.3	35	32	30	12	3	45	22	11	50	9	4	5	16	26	24	21	5	4	2	9	5	2	15	12	1	6	9	9	16	3	2	3	3	3	3	29	9	28	5	2	16	25	4	10	15	4	11	1	1
Massachusetts	2.6	3.4	10.0	63.7	4.5	7.1	14.3	12.2	10.7	5.8	12.3	7.5	3.4	82.6	80.2	75.7	115964	1336	4.3	398800	71096	84385	11.2	2.2	20.2	11.4	5.3	5.0	5.4	57737	44845	20.0	14.4	3.8	48.0	37.5	1.4	2.3	45555	5.4	0.4	31.9	14.3	6.5	24.5	44.5	27.8	10.6	2.2	15	14	10	10	34	9	11	32	2	6	42	27	20	7	7	8	3	7	17	4	2	4	9	7	9	4	4	5	15	2	3	2	4	45	2	8	5	39	3	19	10	2	3	5	4	2	4	2	6
Michigan	1.5	2.0	7.2	57.7	4.6	6.9	12.9	11.7	2.6	4.1	10.7	13.6	3.7	80.9	78.3	74.2	80803	892	3.5	162600	54763	59234	5.3	1.3	6.6	1.8	0.6	0.8	7.5	42471	33534	11.7	9.7	3.5	37.6	28.3	0.6	1.8	32854	4.6	0.4	14.6	5.7	0.9	18.3	30.0	4.1	5.9	0.8	40	40	33	40	25	14	41	46	48	32	51	16	11	15	17	19	32	30	31	41	21	34	31	49	34	31	28	24	3	22	35	23	33	49	30	49	27	45	27	25	10	21	29	35	37	32	40	30	28
Minnesota	2.1	3.1	8.8	66.5	4.3	6.4	13.6	12.7	2.0	2.2	12.2	6.4	2.6	79.4	76.8	73.0	96814	1010	3.4	235700	59850	73382	12.6	1.6	13.6	3.6	1.1	1.1	4.5	48961	40505	12.6	10.0	3.6	42.2	28.1	0.7	3.3	38881	7.4	0.3	16.1	8.5	1.2	24.2	36.8	7.6	8.2	2.9	21	18	20	3	46	42	23	15	52	52	45	30	41	37	37	34	14	24	33	21	11	14	6	25	21	19	18	15	26	11	10	18	28	48	11	50	24	27	11	9	16	19	15	31	5	11	22	14	4
Mississippi	1.5	1.4	5.7	52.7	4.7	6.9	12.9	12.5	3.1	4.2	18.5	37.7	4.0	79.0	76.3	71.8	65156	789	2.4	125500	45599	46511	2.4	1.2	3.4	0.6	0.2	0.1	3.2	34304	30484	8.9	6.9	5.3	33.1	31.2	0.1	3.5	25444	1.2	0.0	4.5	3.4	0.6	13.8	22.8	2.4	4.1	0.7	40	49	49	50	19	14	41	21	38	28	10	2	5	42	43	44	51	47	46	50	50	51	52	51	47	51	49	52	42	51	50	46	49	14	50	37	49	25	51	52	50	42	50	46	50	50	50	49	33
Missouri	1.8	2.2	7.3	59.8	4.7	6.7	13.4	12.2	4.6	3.8	12.3	11.4	2.8	80.1	77.5	73.5	78194	843	3.3	163600	50942	57290	5.0	1.8	4.9	1.2	0.4	0.5	4.7	40176	33811	11.5	9.8	4.3	37.9	32.9	0.4	2.8	31839	3.4	0.1	13.8	5.2	0.9	18.4	29.9	4.2	5.3	0.7	29	32	32	27	19	25	26	32	14	39	42	20	38	30	29	30	37	40	37	40	35	39	34	15	41	39	33	40	22	35	34	27	30	33	27	29	34	32	37	40	34	22	31	35	36	34	38	38	33
Montana	3.0	3.4	8.8	60.5	4.8	6.8	12.9	12.0	4.4	2.8	16.4	0.6	2.6	80.9	78.5	74.6	76834	836	2.5	244900	49939	56539	4.0	1.6	6.2	1.5	0.4	0.8	4.7	38332	31067	10.9	8.8	5.6	37.5	31.5	0.8	4.1	32463	3.9	0.3	13.6	4.7	2.4	22.2	33.1	9.5	5.4	0.1	9	14	20	24	15	17	41	40	16	50	12	52	41	15	16	16	42	41	45	19	38	41	43	25	37	34	33	24	22	42	48	32	40	11	33	36	19	17	32	35	16	23	40	15	11	20	16	36	51
Nebraska	1.7	2.7	7.8	66.6	4.5	7.1	13.3	12.5	2.6	4.0	14.1	4.8	2.3	78.0	75.3	71.1	82306	857	4.6	164000	52186	63015	7.2	1.8	5.6	1.1	0.3	0.9	4.8	40911	35283	11.1	8.9	4.2	38.8	33.8	0.5	3.6	33205	4.1	0.1	20.1	5.2	0.7	21.4	32.5	3.3	6.1	1.0	35	23	27	2	34	9	28	21	48	33	28	34	50	48	48	49	30	36	14	39	30	26	22	15	40	42	39	21	20	31	23	31	39	36	22	20	31	22	25	31	34	11	31	44	19	22	44	26	19
Nevada	3.3	3.6	10.4	58.9	4.6	6.0	14.6	13.3	6.5	7.5	11.9	9.3	4.1	79.8	77.3	73.9	84350	1159	5.2	290200	48506	62043	9.4	1.5	17.9	4.0	0.9	0.7	1.1	41103	34822	8.8	11.5	4.2	30.9	42.9	0.8	4.7	32629	4.7	0.2	1.1	5.9	2.4	16.6	25.5	11.3	6.2	1.3	8	10	6	35	25	49	10	7	7	1	48	25	4	32	32	23	25	15	8	12	47	27	13	36	14	18	22	28	52	30	27	48	18	36	52	4	19	11	30	22	25	52	28	15	44	46	14	24	13
New Hampshire	1.8	2.9	8.8	64.6	4.3	6.6	12.5	11.5	5.4	4.6	13.1	1.6	2.5	83.4	81.0	76.8	101292	1145	3.1	272300	61507	77923	6.8	1.9	17.0	4.3	1.5	0.8	3.7	49178	40797	14.5	11.2	4.1	41.9	28.8	0.9	2.2	41234	5.5	0.4	19.8	9.7	1.5	23.0	37.6	9.2	9.2	0.6	29	19	20	7	46	34	47	50	11	16	39	46	45	5	5	4	11	17	40	17	8	8	24	12	16	16	16	24	37	10	8	10	20	39	12	45	15	40	7	18	10	13	11	23	7	9	19	9	40
New Jersey	2.5	2.4	10.1	61.8	4.2	6.2	12.9	12.8	6.3	4.7	13.7	13.4	3.8	80.6	78.0	74.4	117868	1368	4.7	343500	69629	85245	11.2	2.6	23.4	9.2	3.9	3.5	7.1	54975	44780	15.9	13.7	4.4	44.2	36.0	1.7	2.2	44153	9.7	0.7	18.1	14.8	3.7	24.8	40.7	20.9	10.4	1.3	17	28	9	16	50	48	41	13	9	14	33	17	10	19	20	17	2	5	13	7	3	3	9	5	4	9	6	6	6	5	4	8	7	30	6	12	3	40	4	7	3	15	2	9	3	5	8	4	13
New Mexico	2.8	2.7	7.6	53.2	5.6	6.8	13.5	12.1	3.8	2.9	22.5	2.1	3.7	79.7	76.9	72.9	70241	857	2.3	175700	46369	51243	4.3	1.4	6.7	1.4	0.3	0.3	4.0	37898	30357	12.3	11.6	7.6	37.8	32.0	0.4	2.5	27945	3.5	0.1	4.4	4.1	1.3	15.8	28.1	5.1	4.7	0.4	12	23	28	49	2	17	24	36	26	48	3	42	11	34	35	36	48	36	47	35	48	47	41	46	33	36	39	46	33	43	51	21	17	7	28	34	34	35	48	39	34	43	48	27	47	42	34	47	46
New York	4.1	4.1	14.9	59.3	4.8	6.6	14.7	12.4	6.9	5.1	15.8	15.4	3.6	81.5	79.1	75.3	105304	1315	4.2	325000	60871	71117	24.2	2.8	19.3	9.8	4.7	6.9	8.0	52668	41119	16.5	12.2	4.8	42.6	45.9	1.8	1.6	40898	5.3	0.7	31.7	11.5	8.2	20.9	37.5	22.5	8.4	1.4	4	6	2	32	15	34	8	25	6	8	14	13	13	13	13	12	9	9	18	10	10	15	2	3	11	8	5	4	2	6	7	6	13	21	10	2	2	49	8	20	3	3	8	4	22	10	7	13	10
North Carolina	1.6	1.8	7.2	57.9	5.0	6.7	13.4	12.6	2.7	4.2	13.9	21.4	3.3	80.4	77.8	73.6	79620	932	4.2	182100	48869	56642	4.8	1.7	8.6	1.9	0.5	0.6	3.4	40819	33219	11.6	11.2	4.1	38.9	34.3	0.4	4.8	31993	4.3	0.2	5.1	6.0	1.3	20.4	32.0	6.5	5.4	1.3	39	42	33	38	12	25	26	17	45	28	29	9	24	22	24	28	34	27	18	33	44	40	37	20	27	29	30	33	41	32	38	25	20	39	21	16	34	9	36	28	25	39	25	27	23	26	29	36	13
North Dakota	2.9	3.3	9.6	66.9	4.4	8.3	15.2	11.9	3.5	3.9	16.1	3.2	2.1	78.9	76.6	72.2	85506	828	5.4	199900	54353	65315	15.0	1.2	6.3	1.1	0.4	0.6	4.2	42337	38165	8.6	6.6	4.7	38.3	37.5	2.6	8.0	36289	5.8	0.6	12.5	6.0	0.9	22.1	30.7	5.0	6.3	1.5	11	16	14	1	43	1	6	43	31	36	13	40	52	43	40	42	23	42	7	27	22	20	4	51	35	42	33	33	31	23	17	49	50	23	25	8	1	1	18	15	5	24	25	35	13	28	35	22	8
Ohio	1.4	1.8	6.9	59.7	4.4	6.5	13.2	12.0	4.4	4.6	12.2	12.4	3.3	80.4	77.8	73.7	78797	825	3.8	151400	53293	58116	5.9	1.5	4.5	1.2	0.3	0.5	6.1	41886	34649	10.9	9.8	3.9	37.6	33.7	0.6	2.0	32465	4.6	0.4	20.0	5.2	0.6	17.9	28.9	3.2	5.6	1.2	47	42	40	28	43	39	30	40	16	16	45	18	24	22	24	27	35	43	23	44	25	37	29	36	42	39	39	40	9	26	28	32	30	44	30	24	27	44	31	25	10	12	31	46	39	38	45	32	17
