name	rooms_1	rooms_3	rooms_4	age_35_44	units_5_9	edu_9_less	race_asian	income_mean	rent_median	value_median	grapi_35_more	housing_units	income_median	race_hispanic	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1950_1959	built_1960_1969	in_professional	occupied_renter	popestimate2020	popestimate2021	housing_occupied	class_selfemployed	income_200000_more	value_1000000_more	value_500000_999999	income_150000_199999	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_age_35_44	rank_units_5_9	rank_edu_9_less	rank_race_asian	rank_income_mean	rank_rent_median	rank_value_median	rank_grapi_35_more	rank_housing_units	rank_income_median	rank_race_hispanic	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1950_1959	rank_built_1960_1969	rank_in_professional	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_housing_occupied	rank_class_selfemployed	rank_income_200000_more	rank_value_1000000_more	rank_value_500000_999999	rank_income_150000_199999
Oregon	3.0	8.8	17.0	13.4	4.4	3.4	4.5	88137	1173	336700	41.2	1788855	65667	13.2	1.7	18.1	5.8	1.6	1.2	7.9	9.1	11.3	37.2	4241544	4246155	91.8	7.1	7.2	2.6	18.8	7.0	9	20	11	5	23	31	15	20	14	8	9	27	19	15	20	13	14	15	14	35	33	19	10	27	27	3	9	19	14	9	19
Pennsylvania	2.0	7.2	12.1	11.7	3.2	3.1	3.5	87262	958	187500	38.1	5713345	63627	7.6	1.6	10.1	3.1	1.1	1.0	13.5	10.1	10.6	31.0	12989625	12964056	89.4	5.0	7.1	1.1	6.3	6.7	25	33	51	46	46	35	19	21	26	31	26	5	23	30	25	26	24	18	18	6	23	22	38	5	5	18	40	20	32	30	21
Puerto Rico	1.9	9.0	26.2	12.3	4.4	null	0.2	33315	486	111200	44.4	1559976	21058	98.7	1.6	1.2	0.5	0.2	0.2	8.6	17.4	10.2	32.2	3281538	3263584	77.3	10.0	1.0	0.5	1.0	0.9	28	17	1	27	23		52	52	52	52	5	29	52	1	25	52	52	49	50	29	1	26	33	31	31	51	1	52	51	52	52
Rhode Island	2.4	10.4	17.1	11.7	4.8	4.7	3.5	92427	1031	276600	37.9	469289	70305	15.9	1.5	12.6	3.3	1.0	1.0	12.3	11.7	10.6	38.4	1096229	1095610	88.4	4.9	7.7	2.0	10.4	7.8	18	6	10	46	12	8	19	17	23	15	27	45	16	13	36	24	22	21	18	10	10	22	6	44	45	24	43	17	18	15	15
South Carolina	1.5	5.8	15.2	12.1	4.2	3.7	1.6	76390	918	170100	40.3	2319112	54864	5.8	1.5	8.1	2.0	0.7	0.7	6.5	8.8	10.5	29.9	5130729	5190705	84.6	5.5	5.1	1.6	6.1	5.2	40	48	30	36	28	26	38	43	28	37	12	23	42	36	36	30	27	26	28	46	35	24	41	23	23	39	32	35	22	32	40
South Dakota	1.8	8.0	15.8	11.9	3.9	2.8	1.4	77932	761	174600	30.3	396817	59896	4.1	1.5	3.4	0.8	0.3	0.6	8.7	8.3	6.6	32.0	887099	895376	87.7	7.9	4.4	0.9	4.3	5.1	29	26	24	43	36	39	44	38	49	36	52	47	32	43	36	47	47	39	33	27	43	50	34	47	47	28	5	45	35	37	42
Tennessee	1.5	6.8	15.5	12.5	4.6	4.2	1.8	76937	897	177600	37.9	2996127	54833	5.6	1.6	8.2	2.0	0.6	0.6	8.7	10.0	9.9	33.5	6920119	6975218	88.1	6.8	5.1	1.3	6.2	4.9	40	42	27	21	16	17	36	41	29	34	27	15	43	37	25	29	27	28	33	27	27	29	26	16	16	25	11	35	27	31	44
Texas	2.2	10.2	16.2	13.6	4.6	7.8	4.9	89506	1082	187200	38.8	11112975	63826	39.4	1.7	14.4	4.2	1.2	1.0	7.7	8.8	11.7	37.7	29217653	29527941	89.1	6.8	7.8	1.7	6.6	7.0	19	8	20	4	16	2	12	19	20	32	21	2	22	3	20	20	17	17	18	36	35	15	7	2	2	20	11	16	21	28	19
Utah	1.7	6.6	13.4	13.7	3.4	2.4	2.3	94452	1090	305400	34.8	1110369	74197	14.2	2.0	15.2	3.5	0.8	0.9	6.8	7.0	12.7	29.5	3281684	3337975	90.4	4.8	7.0	2.1	13.3	7.8	35	44	48	3	43	45	32	16	19	11	44	36	13	14	9	18	21	24	21	44	49	10	42	30	30	11	44	22	17	12	15
Vermont	3.8	8.9	15.0	11.3	4.8	2.0	1.6	83767	999	230900	40.0	337214	63477	2.0	1.7	12.1	3.3	0.9	0.9	6.0	8.3	9.1	28.7	642495	645570	77.9	8.2	6.0	1.1	7.2	6.1	6	19	34	52	12	49	38	26	25	24	16	49	24	50	20	25	22	22	21	48	43	38	47	51	51	50	4	25	32	26	26
Virginia	1.5	7.0	14.0	13.0	4.6	3.9	6.7	106023	1257	282800	37.9	3537788	76398	9.5	1.9	20.8	9.2	3.7	3.1	8.6	10.5	15.9	33.3	8632044	8642274	90.0	4.8	11.6	3.0	18.0	9.0	40	37	40	10	16	22	8	8	10	13	27	12	11	27	12	7	9	7	8	29	21	2	28	12	12	15	44	7	11	10	10
Washington	3.4	9.4	15.8	13.4	4.4	3.5	8.8	103669	1337	366800	37.9	3150194	77006	12.9	2.2	22.7	10.6	3.7	3.4	7.3	9.3	13.6	36.7	7718785	7738692	92.2	5.8	10.5	5.9	24.0	8.9	7	15	24	5	23	28	4	10	6	6	27	13	10	16	7	5	7	7	7	39	32	8	11	13	13	1	27	10	6	5	11
West Virginia	1.8	5.4	14.3	12.0	2.9	4.1	0.8	65332	732	123200	38.8	893615	48037	1.6	1.5	3.0	0.8	0.1	0.2	10.6	9.0	7.8	26.3	1789798	1782959	82.2	4.2	3.1	0.5	1.9	3.9	29	51	39	40	48	19	49	50	51	51	21	38	50	52	36	50	47	52	50	16	34	46	52	40	40	48	52	51	51	51	51
Wisconsin	2.0	8.4	16.1	12.2	4.9	2.5	2.8	82757	872	189200	34.9	2709444	63293	7.0	1.6	5.7	1.3	0.4	0.6	10.7	9.7	8.6	32.9	5892323	5895908	87.8	5.1	5.2	0.8	4.6	6.1	25	24	21	32	10	44	26	29	34	30	43	19	25	34	25	39	38	33	33	15	30	42	29	20	20	27	39	31	39	36	26
Wyoming	1.7	7.0	16.3	12.6	3.4	1.8	0.8	83583	853	228000	32.0	278495	65304	10.1	1.6	8.5	1.9	0.5	0.3	8.6	7.5	6.5	29.0	577267	578803	83.7	6.6	5.0	2.7	7.0	6.2	35	37	17	17	43	50	49	27	38	25	50	52	21	25	25	28	29	30	46	29	47	52	44	52	52	45	14	37	12	27	24
