name	units_2	age_45_54	units_3_4	units_5_9	age_16_over	age_18_over	grapi_30_34	income_mean	rent_median	value_median	ancestry_arab	earnings_male	income_median	ancestry_greek	ancestry_irish	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	earnings_female	earnings_median	edu_grad_degree	in_professional	job_bus_sci_art	ancestry_italian	ancestry_russian	housing_occupied	income_percapita	built_1939_earlier	income_200000_more	ancestry_lithuanian	ancestry_portuguese	edu_bachelor_degree	edu_bachelor_higher	in_education_health	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	ancestry_frenchcanadian	ancestry_subsaharan_african	rank_units_2	rank_age_45_54	rank_units_3_4	rank_units_5_9	rank_age_16_over	rank_age_18_over	rank_grapi_30_34	rank_income_mean	rank_rent_median	rank_value_median	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_job_bus_sci_art	rank_ancestry_italian	rank_ancestry_russian	rank_housing_occupied	rank_income_percapita	rank_built_1939_earlier	rank_income_200000_more	rank_ancestry_lithuanian	rank_ancestry_portuguese	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_in_education_health	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999	rank_ancestry_frenchcanadian	rank_ancestry_subsaharan_african
Georgia	2.1	13.4	2.9	4.4	78.9	76.2	9.0	85691	1042	190200	0.3	51053	61224	0.2	7.0	12.8	2.9	0.7	0.7	41521	34603	12.5	12.7	38.5	2.2	0.4	88.5	32427	4.2	7.1	0.1	0.1	19.7	32.2	20.9	17.4	7.4	1.3	6.3	0.2	1.9	32	5	41	23	43	44	24	22	21	29	31	34	30	31	44	23	26	26	28	28	29	19	10	24	38	34	23	33	44	20	22	29	28	25	50	29	25	8	22	35	7
Hawaii	2.1	12.1	4.0	6.4	80.9	78.7	9.2	107348	1651	636400	0.2	53956	83173	0.2	4.4	20.6	13.8	9.4	12.4	45426	39448	11.6	10.3	35.7	2.1	0.4	85.6	37013	3.5	11.3	0.1	3.4	21.9	33.6	21.3	21.7	49.2	0.2	10.5	0.2	0.2	32	37	22	3	15	15	16	7	1	1	45	23	5	31	51	8	3	1	1	18	12	25	25	42	41	34	35	16	46	9	22	3	14	19	46	24	1	20	3	35	49
Idaho	2.3	11.5	4.3	2.8	77.5	74.7	8.4	77399	887	235600	0.2	49618	58915	0.2	9.1	7.3	1.4	0.4	0.6	37128	30843	9.4	9.8	36.0	3.1	0.5	88.1	29494	8.3	4.7	0.1	0.4	19.3	28.7	22.3	24.1	7.9	0.1	5.0	0.5	0.2	28	44	19	50	50	50	47	39	31	22	45	39	35	31	34	32	36	33	33	47	49	43	30	39	31	31	25	45	31	40	22	11	31	39	40	19	21	36	43	17	49
Illinois	5.6	12.9	6.4	6.3	80.2	77.5	8.8	95115	1038	202100	0.8	59310	68428	0.7	11.0	13.6	5.3	1.9	1.7	47045	38645	13.9	12.1	39.8	5.7	0.9	90.9	37306	21.0	8.8	0.6	0.1	21.6	35.5	23.3	18.8	7.6	0.3	7.8	0.3	1.0	7	15	8	4	29	29	35	15	22	26	6	12	18	4	20	21	15	14	12	16	15	12	14	18	12	15	5	14	10	13	3	29	16	13	31	26	22	16	15	27	19
Indiana	2.4	12.5	3.5	4.7	79.2	76.5	8.9	76984	844	148900	0.3	52374	58235	0.3	10.4	4.5	1.0	0.3	0.5	39800	34065	9.9	8.5	35.1	2.7	0.3	89.6	30693	16.8	4.5	0.1	0.1	17.3	27.2	23.3	10.3	3.0	0.1	5.2	0.2	0.9	26	28	31	14	40	41	27	40	39	46	31	29	36	20	24	42	44	39	40	37	33	40	44	47	35	42	17	42	17	43	22	29	42	43	31	47	47	36	40	35	26
Iowa	2.2	11.8	3.4	3.6	79.5	76.9	8.0	80316	806	153900	0.3	52790	61836	0.2	13.0	4.5	1.2	0.3	0.7	41357	35457	9.6	7.4	37.2	2.0	0.3	90.5	33021	25.2	5.0	0.1	0.1	19.7	29.3	24.3	11.6	3.0	0.1	5.6	0.2	1.0	31	41	33	42	36	35	51	33	46	43	31	27	28	31	11	42	39	39	28	29	21	42	48	35	43	42	9	26	7	37	22	29	28	35	21	43	47	36	32	35	19
Kansas	2.5	11.6	3.6	3.9	78.5	75.8	9.0	82103	863	157600	0.3	51978	61091	0.2	11.3	6.3	1.5	0.4	0.7	40776	34481	12.5	9.7	39.2	2.1	0.6	89.2	32798	16.2	5.7	0.1	0.1	21.5	33.9	24.7	12.7	4.1	0.1	5.9	0.3	0.7	23	43	27	36	45	45	24	31	35	42	31	31	31	31	17	35	34	33	28	33	30	19	33	20	41	27	19	29	18	29	22	29	18	18	15	40	40	36	30	27	33
Kentucky	2.9	12.9	4.4	4.4	80.0	77.4	8.2	72318	783	147100	0.3	49210	52238	0.1	11.2	3.4	0.7	0.2	0.3	38782	32148	10.3	8.6	35.2	2.0	0.2	87.6	29123	9.6	4.2	0.1	0.1	14.8	25.0	24.1	10.4	3.4	0.1	4.5	0.2	0.8	19	15	16	23	31	31	50	46	48	47	31	42	45	45	18	47	50	49	46	40	42	39	42	46	43	47	29	46	29	47	22	29	49	47	23	46	43	36	48	35	28
Louisiana	4.0	12.1	4.0	3.1	79.1	76.5	8.9	73759	876	168100	0.4	52911	50800	0.1	6.5	6.2	1.6	0.3	0.4	37701	32723	8.9	9.2	35.3	4.3	0.2	84.4	29522	6.7	4.7	0.0	0.1	15.9	24.9	24.5	12.6	4.2	0.2	5.3	2.8	1.4	14	37	22	47	41	41	27	45	32	38	22	26	48	45	46	37	32	39	43	45	40	46	36	45	18	47	41	44	37	40	46	29	46	48	19	41	38	20	38	6	10
Maine	4.9	13.4	5.4	3.7	83.6	81.3	10.2	78301	873	198000	0.3	51630	59489	0.5	16.7	7.8	1.6	0.5	0.6	42188	34238	12.2	9.2	38.8	5.7	0.6	76.3	33774	23.8	4.9	0.3	0.6	20.3	32.5	28.0	17.5	5.9	0.2	5.5	7.7	0.8	11	5	11	40	3	3	1	36	33	28	31	33	33	8	4	31	32	30	33	24	32	22	36	22	12	27	52	24	8	39	7	8	24	22	4	28	33	20	35	3	28
