name	rooms_1	rooms_2	rooms_3	rooms_4	job_sales	units_5_9	class_govt	race_asian	race_mixed	age_85_over	income_mean	job_service	rent_median	in_arts_food	race_pacific	value_median	grapi_35_more	income_median	units_20_more	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1960_1969	built_1970_1979	in_public_admin	occupied_renter	income_200000_more	value_1000000_more	ancestry_portuguese	value_500000_999999	edu_associate_degree	income_100000_149999	income_150000_199999	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_job_sales	rank_units_5_9	rank_class_govt	rank_race_asian	rank_race_mixed	rank_age_85_over	rank_income_mean	rank_job_service	rank_rent_median	rank_in_arts_food	rank_race_pacific	rank_value_median	rank_grapi_35_more	rank_income_median	rank_units_20_more	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1960_1969	rank_built_1970_1979	rank_in_public_admin	rank_occupied_renter	rank_income_200000_more	rank_value_1000000_more	rank_ancestry_portuguese	rank_value_500000_999999	rank_edu_associate_degree	rank_income_100000_149999	rank_income_150000_199999
Georgia	1.4	1.7	6.3	13.8	22.0	4.4	14.3	4.1	3.7	1.4	85691	16.0	1042	9.2	0.1	190200	40.1	61224	6.5	12.8	2.9	0.7	0.7	8.5	13.5	4.8	36.0	7.1	1.5	0.1	7.4	8.0	14.9	6.3	47	45	46	42	7	23	26	16	33	49	22	45	21	20	13	29	15	30	25	23	26	26	28	41	42	21	12	20	23	29	25	38	33	22
Hawaii	5.5	7.4	13.7	20.4	22.9	6.4	20.4	37.6	24.3	2.8	107348	23.0	1651	16.0	10.4	636400	45.5	83173	19.6	20.6	13.8	9.4	12.4	14.4	23.2	8.8	39.7	11.3	16.5	3.4	49.2	10.9	19.5	10.5	3	2	3	3	5	3	7	1	1	1	7	2	1	2	1	1	2	5	3	8	3	1	1	2	1	4	5	9	3	3	1	7	1	3
Idaho	1.8	2.4	6.1	14.4	21.8	2.8	14.6	1.4	4.3	1.6	77399	16.9	887	9.0	0.2	235600	36.6	58915	3.8	7.3	1.4	0.4	0.6	6.6	17.1	4.9	29.2	4.7	1.5	0.4	7.9	9.8	14.5	5.0	29	28	47	38	12	50	23	44	22	45	39	25	31	22	9	22	33	35	46	32	36	33	33	51	15	18	43	40	23	11	21	17	36	43
Illinois	2.6	2.5	8.3	15.5	21.5	6.3	12.2	5.6	4.2	2.1	95115	16.8	1038	8.8	0.0	202100	38.2	68428	10.8	13.6	5.3	1.9	1.7	11.6	14.4	3.7	33.7	8.8	1.8	0.1	7.6	8.1	16.6	7.8	15	26	25	27	20	4	45	11	23	23	15	28	22	31	32	26	25	18	12	21	15	14	12	11	36	46	24	13	20	29	22	36	18	15
Indiana	1.4	1.7	6.5	13.7	20.6	4.7	10.8	2.4	3.3	2.0	76984	16.1	844	8.6	0.0	148900	37.2	58235	4.4	4.5	1.0	0.3	0.5	11.0	13.8	3.5	30.5	4.5	0.6	0.1	3.0	8.9	14.7	5.2	47	45	45	45	39	14	50	31	40	26	40	43	39	37	32	46	32	36	40	42	44	39	40	18	40	49	40	43	46	29	47	21	34	40
Iowa	1.4	2.2	7.6	14.7	20.4	3.6	13.5	2.5	3.0	2.5	80316	15.9	806	7.2	0.1	153900	34.7	61836	6.1	4.5	1.2	0.3	0.7	10.1	14.2	3.1	28.8	5.0	0.6	0.1	3.0	11.8	15.9	5.6	47	32	28	37	40	42	35	29	42	6	33	47	46	52	13	43	46	28	28	42	39	39	28	23	37	52	45	37	46	29	47	2	24	32
Kansas	2.1	2.2	6.9	13.6	20.4	3.9	15.8	3.0	4.8	2.3	82103	16.3	863	8.2	0.1	157600	34.2	61091	4.8	6.3	1.5	0.4	0.7	10.2	14.7	4.5	33.8	5.7	0.8	0.1	4.1	8.8	15.1	5.9	21	32	40	46	40	36	14	24	15	11	31	40	35	42	13	42	48	31	37	35	34	33	28	22	33	28	20	29	39	29	40	24	29	30
Kentucky	1.4	1.6	7.0	15.9	21.2	4.4	14.3	1.5	2.8	1.8	72318	16.2	783	8.5	0.1	147100	35.0	52238	3.2	3.4	0.7	0.2	0.3	10.7	16.3	4.3	32.4	4.2	0.7	0.1	3.4	8.6	13.0	4.5	47	47	37	22	24	23	26	42	46	34	46	41	48	38	13	47	42	45	49	47	50	49	46	20	18	33	32	47	44	29	43	30	46	48
Louisiana	1.5	2.1	7.4	17.0	21.7	3.1	15.2	1.7	2.7	1.7	73759	18.8	876	10.3	0.0	168100	45.2	50800	4.8	6.2	1.6	0.3	0.4	12.5	17.9	5.3	33.4	4.7	1.0	0.1	4.2	6.5	13.0	5.3	40	36	31	11	15	47	19	37	48	40	45	8	32	8	32	38	3	48	37	37	32	39	43	6	9	14	27	40	34	29	38	50	46	38
Maine	2.7	3.6	9.0	16.5	21.0	3.7	13.4	1.1	2.8	2.6	78301	17.4	873	8.4	0.0	198000	35.5	59489	3.5	7.8	1.6	0.5	0.6	6.9	13.8	4.4	27.1	4.9	1.3	0.6	5.9	10.2	15.0	5.5	13	10	17	16	28	40	36	47	46	3	36	17	33	39	32	28	41	33	47	31	32	30	33	50	40	30	51	39	27	8	33	10	31	35
