name	rooms_8	rooms_9	class_govt	income_mean	units_10_19	rooms_median	ancestry_arab	rent_1500_1999	rent_2000_2499	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	income_percapita	units_1_attached	ancestry_american	income_200000_more	edu_bachelor_higher	income_150000_199999	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_class_govt	rank_income_mean	rank_units_10_19	rank_rooms_median	rank_ancestry_arab	rank_rent_1500_1999	rank_rent_2000_2499	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_income_percapita	rank_units_1_attached	rank_ancestry_american	rank_income_200000_more	rank_edu_bachelor_higher	rank_income_150000_199999	rank_ancestry_subsaharan_african
Ohio	10.3	13.8	12.2	78797	3.8	5.9	0.7	4.5	1.2	10.9	9.8	3.9	37.6	32465	4.6	6.6	5.2	28.9	5.6	1.2	12	18	45	35	23	9	10	42	39	32	30	44	30	31	25	17	31	38	32	17
Oklahoma	7.5	8.3	17.0	74195	3.4	5.5	0.3	4.5	0.9	9.0	8.7	6.2	35.6	29873	2.0	7.3	4.5	26.1	4.8	0.6	43	43	11	44	33	32	31	42	45	45	41	9	44	43	49	16	43	45	46	40
Oregon	8.2	10.7	13.8	88137	3.7	5.4	0.5	18.1	5.8	13.1	11.3	4.6	40.4	35393	4.7	4.7	7.2	34.4	7.0	0.6	37	35	31	20	27	37	17	13	14	15	19	25	15	21	22	26	19	17	19	40
Pennsylvania	11.1	14.4	10.7	87262	2.6	6.0	0.6	10.1	3.1	12.8	10.6	4.0	39.9	35518	18.6	4.5	7.1	32.3	6.7	1.0	4	16	51	21	44	5	13	26	24	17	22	41	17	20	3	30	20	24	21	19
Puerto Rico	2.1	1.3	21.0	33315	3.1	4.8	null	1.2	0.5	null	10.2	8.7	32.9	13318	11.5	null	1.0	null	0.9	null	52	52	5	52	40	49		52	52		26	6	51	52	5		52		52	
Rhode Island	7.7	9.0	12.9	92427	3.8	5.3	0.8	12.6	3.3	14.0	10.6	4.0	40.5	37504	3.6	3.4	7.7	35.0	7.8	3.1	39	41	40	17	23	42	6	24	22	11	22	41	14	13	38	44	17	14	15	3
South Carolina	9.1	11.3	15.0	76390	3.2	5.7	0.3	8.1	2.0	10.8	10.5	4.5	35.8	30727	3.2	10.2	5.1	29.0	5.2	1.0	28	34	22	43	39	19	31	30	27	34	24	28	41	41	43	7	35	37	40	19
South Dakota	10.9	17.3	15.5	77932	4.4	5.8	0.2	3.4	0.8	9.2	6.6	4.9	37.3	31415	3.8	4.0	4.4	29.3	5.1	1.0	6	8	18	38	16	13	45	47	47	44	50	18	34	38	36	34	45	35	42	19
Tennessee	9.0	12.3	13.3	76937	3.8	5.7	0.6	8.2	2.0	10.4	9.9	4.2	36.3	30869	3.3	12.3	5.1	28.2	4.9	1.2	31	26	37	41	23	19	13	29	27	38	29	36	38	40	41	3	35	40	44	17
Texas	8.0	10.2	13.3	89506	6.0	5.4	0.5	14.4	4.2	10.8	11.7	4.0	37.8	32177	2.7	5.4	7.8	30.7	7.0	1.4	38	36	37	19	3	37	17	20	17	34	15	41	28	35	44	22	16	28	19	10
Utah	11.7	25.4	14.6	94452	4.2	6.4	0.3	15.2	3.5	11.7	12.7	4.7	39.7	30986	6.7	4.6	7.0	34.7	7.8	0.5	2	1	23	16	18	1	31	18	21	23	10	23	19	39	13	28	22	15	15	44
Vermont	9.4	12.1	14.6	83767	1.8	5.6	0.3	12.1	3.3	16.1	9.1	5.0	43.1	35854	4.2	7.7	6.0	39.7	6.1	0.6	21	29	23	26	50	23	31	25	22	7	38	16	8	19	29	12	25	7	26	40
Virginia	10.9	18.4	20.0	106023	5.5	6.0	0.9	20.8	9.2	17.2	15.9	8.8	45.3	41255	11.1	9.4	11.6	39.5	9.0	2.3	6	5	8	8	6	5	4	7	9	5	2	4	4	6	6	10	7	8	10	5
Washington	9.3	13.3	15.6	103669	4.9	5.5	0.5	22.7	10.6	13.9	13.6	5.0	42.7	40837	4.0	3.8	10.5	36.7	8.9	1.3	25	21	17	10	11	32	17	5	7	12	8	16	9	9	34	35	10	12	11	13
West Virginia	9.6	11.5	19.6	65332	1.7	5.8	0.4	3.0	0.8	8.6	7.8	6.9	34.2	27346	2.2	10.6	3.1	21.3	3.9	0.4	18	33	9	50	51	13	22	50	47	49	46	8	49	50	48	5	51	51	51	46
Wisconsin	9.0	12.5	12.3	82757	3.5	5.6	0.3	5.7	1.3	10.5	8.6	3.5	37.2	34450	4.2	3.1	5.2	30.8	6.1	0.5	31	23	42	29	31	23	31	39	38	36	42	49	35	22	29	46	31	27	26	44
Wyoming	10.2	15.9	20.6	83583	2.2	5.8	0.1	8.5	1.9	10.5	6.5	5.9	35.9	34415	4.6	4.7	5.0	28.2	6.2	0.3	14	13	6	27	48	13	49	28	29	36	52	10	40	23	25	26	37	40	24	48
