name	employed	age_45_54	age_55_59	age_60_64	age_65_74	median_age	race_white	age_16_over	age_18_over	age_21_over	grapi_20_24	grapi_25_29	grapi_30_34	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_french	built_1980_1989	ancestry_english	ancestry_italian	income_percapita	ancestry_scottish	ancestry_lithuanian	edu_bachelor_degree	value_200000_299999	value_300000_499999	income_100000_149999	income_150000_199999	edu_highschool_higher	ancestry_frenchcanadian	rank_employed	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_grapi_20_24	rank_grapi_25_29	rank_grapi_30_34	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_french	rank_built_1980_1989	rank_ancestry_english	rank_ancestry_italian	rank_income_percapita	rank_ancestry_scottish	rank_ancestry_lithuanian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher	rank_ancestry_frenchcanadian
New Mexico	53.2	11.5	6.5	6.5	10.4	38.1	70.0	79.7	76.9	72.9	12.0	11.2	8.7	51243	0.2	6.1	27.4	1.5	17.0	6.6	2.2	27945	1.4	0.1	15.8	21.8	14.2	12.8	4.7	86.5	0.3	49	44	34	19	11	32	33	34	35	36	46	44	38	47	31	47	28	40	5	39	38	48	35	22	47	22	37	48	47	47	27
New York	59.3	13.1	6.9	6.4	9.3	39.0	62.3	81.5	79.1	75.3	11.6	10.8	9.1	71117	0.7	11.1	26.5	1.9	7.6	5.1	11.9	40898	1.0	0.2	20.9	13.5	22.3	16.0	8.4	87.2	0.6	32	11	18	25	34	21	43	13	13	12	50	50	21	15	4	19	31	27	50	48	5	8	47	14	22	48	22	23	13	42	15
North Carolina	57.9	13.2	6.7	6.3	9.7	38.9	67.6	80.4	77.8	73.6	13.5	11.6	8.9	56642	0.3	8.0	31.4	1.5	15.2	9.8	3.2	31993	2.2	0.1	20.4	20.5	16.8	13.7	5.4	88.5	0.4	38	8	25	32	24	23	36	22	24	28	19	28	27	40	20	40	17	40	12	15	29	36	11	22	23	30	32	40	36	35	21
North Dakota	66.9	10.6	6.3	6.1	8.4	35.2	85.7	78.9	76.6	72.2	14.3	9.8	7.0	65315	0.1	7.4	22.3	3.3	11.1	4.3	1.2	36289	1.2	0.0	22.1	26.5	17.6	17.0	6.3	93.1	0.9	1	51	44	41	47	48	10	43	40	42	3	51	52	20	45	42	45	9	38	50	50	18	42	46	13	12	27	16	22	7	10
Ohio	59.7	12.7	7.1	6.7	9.9	39.5	80.5	80.4	77.8	73.7	13.3	11.8	8.5	58116	0.5	12.7	23.4	1.9	9.0	8.6	6.1	32465	1.8	0.2	17.9	18.2	10.9	14.4	5.6	90.8	0.2	28	24	9	12	18	17	21	22	24	27	24	21	44	37	8	13	42	27	49	24	10	31	21	14	39	39	45	37	32	25	35
Oklahoma	57.4	11.7	6.4	6.0	9.1	36.7	71.1	78.4	75.8	71.6	13.4	10.9	8.3	53840	0.1	10.2	23.2	1.8	14.6	8.0	1.7	29873	1.7	0.0	17.2	16.2	9.3	13.3	4.8	88.6	0.2	41	42	41	44	39	44	32	46	45	45	22	49	48	44	45	25	43	30	20	29	47	43	23	46	43	44	48	43	46	34	35
Oregon	59.1	12.3	6.3	6.7	10.7	39.5	82.6	81.6	79.2	75.6	13.6	12.0	9.4	65667	0.3	11.0	37.7	2.8	11.0	11.4	3.7	35393	2.8	0.1	21.3	21.5	36.7	16.2	7.0	91.1	0.6	34	33	44	12	10	17	16	12	12	9	15	16	11	19	20	20	8	13	39	8	23	21	8	22	20	24	2	22	19	21	15
Pennsylvania	59.4	12.9	7.2	6.9	10.3	40.9	79.4	81.7	79.3	75.3	12.9	11.5	8.6	63627	0.5	15.5	30.6	1.5	9.6	7.2	11.2	35518	1.4	0.5	19.5	21.9	17.1	15.7	6.7	91.0	0.2	30	15	6	6	13	9	22	11	11	12	29	36	40	23	8	6	20	40	45	37	6	20	35	4	30	21	30	26	21	23	35
Puerto Rico	37.6	13.1	6.6	6.6	11.2	42.4	60.0	83.8	81.2	77.1	11.8	11.6	8.6	21058	null	null	5.8	null	16.9	null	null	13318	null	null	null	8.5	3.3	2.9	0.9	null	null	52	11	32	15	7	5	46	1	4	3	47	28	40	52			52		6			52				50	52	52	52		
Rhode Island	60.9	13.2	7.2	6.9	9.8	40.0	79.0	83.0	80.6	75.6	12.8	13.2	9.4	70305	0.7	17.2	34.7	8.4	11.3	10.6	16.3	37504	1.7	0.3	21.0	34.5	30.2	18.3	7.8	89.2	5.0	21	8	6	6	21	11	23	6	6	9	35	3	11	16	4	3	13	5	36	11	2	13	23	7	21	1	11	6	15	33	4
