name	units_2	age_45_54	in_finance	race_asian	income_mean	rent_median	in_wholesale	ancestry_arab	earnings_male	income_median	ancestry_greek	in_information	rent_1000_1499	rent_1500_1999	rent_2000_2499	rent_2500_2999	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	earnings_median	ancestry_italian	ancestry_russian	income_percapita	ancestry_ukranian	in_transportation	ancestry_hungarian	income_200000_more	edu_bachelor_degree	edu_bachelor_higher	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	rank_units_2	rank_age_45_54	rank_in_finance	rank_race_asian	rank_income_mean	rank_rent_median	rank_in_wholesale	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_in_information	rank_rent_1000_1499	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_earnings_median	rank_ancestry_italian	rank_ancestry_russian	rank_income_percapita	rank_ancestry_ukranian	rank_in_transportation	rank_ancestry_hungarian	rank_income_200000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999
Georgia	2.1	13.4	6.4	4.1	85691	1042	2.8	0.3	51053	61224	0.2	2.3	36.6	12.8	2.9	0.7	1.0	0.1	2.6	5.9	8.5	41521	34603	2.2	0.4	32427	0.1	6.7	0.2	7.1	19.7	32.2	17.4	7.4	1.3	6.3	32	5	22	16	22	21	4	31	34	30	31	6	10	23	26	26	41	17	47	49	41	28	29	38	34	33	34	3	31	20	28	25	29	25	8	22
Hawaii	2.1	12.1	6.6	37.6	107348	1651	2.2	0.2	53956	83173	0.2	1.5	25.7	20.6	13.8	9.4	0.9	0.0	3.5	8.5	14.4	45426	39448	2.1	0.4	37013	0.1	6.2	0.2	11.3	21.9	33.6	21.7	49.2	0.2	10.5	32	37	19	1	7	1	37	45	23	5	31	36	35	8	3	1	44	40	39	33	2	18	12	41	34	16	34	9	31	9	14	19	24	1	20	3
Idaho	2.3	11.5	5.7	1.4	77399	887	2.7	0.2	49618	58915	0.2	1.6	27.8	7.3	1.4	0.4	1.3	0.0	3.8	6.1	6.6	37128	30843	3.1	0.5	29494	0.3	5.0	0.2	4.7	19.3	28.7	24.1	7.9	0.1	5.0	28	44	32	44	39	31	12	45	39	35	31	25	26	32	36	33	36	40	35	47	51	47	49	31	31	45	16	33	31	40	31	39	19	21	36	43
Illinois	5.6	12.9	7.3	5.6	95115	1038	2.9	0.8	59310	68428	0.7	1.8	30.4	13.6	5.3	1.9	6.6	0.3	6.1	12.6	11.6	47045	38645	5.7	0.9	37306	0.4	6.7	0.4	8.8	21.6	35.5	18.8	7.6	0.3	7.8	7	15	9	11	15	22	3	6	12	18	4	15	21	21	15	14	4	5	9	8	11	16	15	12	15	14	10	3	11	13	16	13	26	22	16	15
Indiana	2.4	12.5	5.2	2.4	76984	844	2.5	0.3	52374	58235	0.3	1.4	23.9	4.5	1.0	0.3	3.0	0.3	5.7	10.9	11.0	39800	34065	2.7	0.3	30693	0.1	5.7	0.5	4.5	17.3	27.2	10.3	3.0	0.1	5.2	26	28	44	31	40	39	24	31	29	36	20	46	40	42	44	39	16	5	12	14	18	37	33	35	42	42	34	18	7	43	42	43	47	47	36	40
Iowa	2.2	11.8	7.8	2.5	80316	806	2.8	0.3	52790	61836	0.2	1.6	20.9	4.5	1.2	0.3	1.3	0.0	5.0	10.1	10.1	41357	35457	2.0	0.3	33021	0.1	5.0	0.1	5.0	19.7	29.3	11.6	3.0	0.1	5.6	31	41	6	29	33	46	4	31	27	28	31	25	47	42	39	39	36	40	19	17	23	29	21	43	42	26	34	33	44	37	28	35	43	47	36	32
Kansas	2.5	11.6	6.3	3.0	82103	863	2.8	0.3	51978	61091	0.2	1.8	26.1	6.3	1.5	0.4	1.3	0.0	5.5	12.6	10.2	40776	34481	2.1	0.6	32798	0.1	5.1	0.2	5.7	21.5	33.9	12.7	4.1	0.1	5.9	23	43	24	24	31	35	4	31	31	31	31	15	33	35	34	33	36	40	13	8	22	33	30	41	27	29	34	32	31	29	18	18	40	40	36	30
Kentucky	2.9	12.9	5.7	1.5	72318	783	2.4	0.3	49210	52238	0.1	1.5	20.9	3.4	0.7	0.2	0.9	0.1	4.3	9.1	10.7	38782	32148	2.0	0.2	29123	0.1	6.5	0.2	4.2	14.8	25.0	10.4	3.4	0.1	4.5	19	15	32	42	46	48	28	31	42	45	45	36	47	47	50	49	44	17	29	25	20	40	42	43	47	46	34	5	31	47	49	47	46	43	36	48
Louisiana	4.0	12.1	5.1	1.7	73759	876	2.6	0.4	52911	50800	0.1	1.5	26.8	6.2	1.6	0.3	0.5	0.0	4.0	9.3	12.5	37701	32723	4.3	0.2	29522	0.0	5.6	0.1	4.7	15.9	24.9	12.6	4.2	0.2	5.3	14	37	45	37	45	32	16	22	26	48	45	36	29	37	32	39	50	40	33	24	6	45	40	18	47	44	50	19	44	40	46	48	41	38	20	38
Maine	4.9	13.4	6.3	1.1	78301	873	2.0	0.3	51630	59489	0.5	1.6	27.7	7.8	1.6	0.5	2.2	0.1	4.6	7.2	6.9	42188	34238	5.7	0.6	33774	0.2	4.1	0.3	4.9	20.3	32.5	17.5	5.9	0.2	5.5	11	5	24	47	36	33	44	31	33	33	8	25	27	31	32	30	21	17	25	40	50	24	32	12	27	24	25	47	20	39	24	22	28	33	20	35
