name	age_5_9	rooms_8	rooms_9	employed	age_10_14	age_15_19	age_20_24	age_35_44	job_sales	age_5_under	age_under18	grapi_15_19	grapi_30_34	rooms_median	ancestry_swiss	ancestry_welsh	rent_1000_1499	ancestry_danish	built_2000_2009	built_2010_2013	ancestry_english	ancestry_swedish	built_2014_later	ancestry_scottish	income_75000_99999	edu_bachelor_degree	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	edu_highschool_higher	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_10_14	rank_age_15_19	rank_age_20_24	rank_age_35_44	rank_job_sales	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_30_34	rank_rooms_median	rank_ancestry_swiss	rank_ancestry_welsh	rank_rent_1000_1499	rank_ancestry_danish	rank_built_2000_2009	rank_built_2010_2013	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_ancestry_scottish	rank_income_75000_99999	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_edu_highschool_higher
Minnesota	6.5	11.0	19.8	66.5	6.6	6.4	6.4	12.7	20.4	6.3	23.2	13.7	9.4	6.1	0.4	0.4	31.2	1.2	13.7	2.4	5.6	7.3	3.3	1.2	14.1	24.2	28.8	23.6	20.8	18.3	93.4	11	5	3	3	16	31	42	15	40	12	15	20	11	4	10	38	18	7	26	35	44	1	27	42	6	5	5	20	26	6	4
Mississippi	6.4	8.6	9.2	52.7	7.0	7.0	6.9	12.5	20.8	6.2	23.7	11.9	8.8	5.6	0.0	0.3	21.8	0.1	16.8	3.5	7.3	0.3	3.5	1.4	11.4	13.8	15.7	7.3	22.2	11.2	85.3	15	34	39	50	4	4	14	21	35	14	10	46	35	23	51	46	46	40	12	16	34	48	25	35	49	50	45	51	15	51	49
Missouri	6.1	9.1	12.5	59.8	6.5	6.5	6.7	12.2	21.9	6.1	22.5	15.0	8.5	5.6	0.4	0.6	25.4	0.3	13.0	2.5	9.1	0.9	2.8	1.7	13.0	18.4	19.8	12.8	22.0	14.2	90.6	24	28	23	27	21	22	25	32	10	19	23	6	44	23	10	18	37	22	28	32	20	26	32	23	25	36	32	39	17	38	26
Montana	5.9	9.1	14.3	60.5	6.2	6.1	6.8	12.0	20.9	5.8	21.5	13.1	8.9	5.5	0.5	1.0	25.2	1.1	14.4	3.6	11.6	2.7	4.1	3.0	12.8	22.2	26.0	24.3	23.3	13.8	94.0	36	28	17	24	35	43	17	40	30	33	37	37	27	32	8	6	38	8	21	14	7	9	17	7	31	11	14	17	9	39	1
Nebraska	6.9	10.7	18.8	66.6	7.0	6.8	7.1	12.5	21.2	6.8	24.7	15.3	8.6	6.0	0.4	0.5	25.6	2.0	11.1	2.9	8.0	3.7	3.6	1.4	14.1	21.4	20.5	12.6	22.7	15.9	91.6	6	8	4	2	4	8	9	21	24	5	5	3	40	5	10	26	36	2	37	23	29	3	22	35	6	19	30	41	14	24	17
Nevada	6.2	7.6	7.8	58.9	6.6	6.0	6.0	13.3	22.9	6.1	22.7	13.2	9.2	5.2	0.3	0.5	41.0	0.6	26.6	3.3	7.3	1.1	4.7	1.5	13.7	16.6	28.6	33.3	25.1	15.4	86.9	19	42	46	35	16	45	49	7	5	19	21	34	16	45	19	26	2	15	1	19	34	25	11	32	14	44	7	7	5	28	45
New Hampshire	5.1	9.4	12.3	64.6	5.7	6.3	6.6	11.5	21.3	4.7	19.0	13.9	9.7	5.6	0.2	0.8	39.8	0.3	11.6	2.1	16.9	1.9	2.2	4.1	14.1	23.0	29.8	30.7	18.0	18.9	93.3	48	21	26	7	47	34	34	50	22	50	48	16	5	23	24	12	3	22	34	40	5	16	40	4	6	7	3	10	43	5	5
New Jersey	6.0	10.4	14.9	61.8	6.3	6.3	6.2	12.8	21.7	5.8	22.0	12.9	8.9	5.7	0.2	0.3	37.8	0.2	8.8	1.8	4.8	0.5	2.2	1.0	12.3	24.8	21.5	34.5	16.1	17.8	90.3	27	11	15	16	30	34	48	13	15	33	31	38	27	19	24	46	7	28	46	42	49	40	40	47	40	3	24	5	47	11	29
New Mexico	6.3	7.1	7.1	53.2	6.9	6.6	6.8	12.1	21.8	5.9	23.1	13.3	8.7	5.3	0.2	0.5	27.4	0.3	14.7	2.7	6.6	0.7	2.5	1.4	11.7	15.8	21.8	14.2	23.4	12.8	86.5	18	46	48	49	7	16	17	36	12	30	17	30	38	42	24	26	28	22	20	29	39	30	35	35	46	47	22	37	8	48	47
New York	5.6	7.5	9.8	59.3	5.9	6.1	6.6	12.4	21.0	5.8	20.9	11.9	9.1	5.0	0.2	0.4	26.5	0.2	6.1	1.6	5.1	0.6	1.6	1.0	12.0	20.9	13.5	22.3	15.5	16.0	87.2	41	43	38	32	43	43	34	25	28	33	40	46	21	48	24	38	31	28	51	45	48	34	49	47	43	22	48	22	49	23	42
North Carolina	6.0	8.4	11.7	57.9	6.4	6.6	6.7	12.6	20.9	5.8	22.2	13.7	8.9	5.5	0.2	0.6	31.4	0.2	18.8	4.0	9.8	0.6	4.8	2.2	12.6	20.4	20.5	16.8	21.1	13.7	88.5	27	35	32	38	23	16	25	17	30	33	27	20	27	32	24	18	17	28	6	8	15	34	9	11	33	23	30	32	22	40	35
North Dakota	6.6	9.4	17.9	66.9	6.3	6.3	8.3	11.9	20.0	7.0	23.4	16.4	7.0	5.6	0.3	0.3	22.3	0.9	11.0	8.0	4.3	3.9	8.0	1.2	14.1	22.1	26.5	17.6	22.2	17.0	93.1	10	21	6	1	30	34	1	43	45	3	13	1	52	23	19	46	45	10	38	1	50	2	1	42	6	13	12	27	15	16	7
Ohio	6.0	10.3	13.8	59.7	6.4	6.5	6.5	12.0	21.1	5.9	22.2	14.5	8.5	5.9	0.6	1.0	23.4	0.1	9.4	1.6	8.6	0.6	2.0	1.8	13.0	17.9	18.2	10.9	20.3	14.4	90.8	27	12	18	28	23	22	39	40	27	30	27	9	44	9	5	6	42	40	45	45	24	34	44	21	25	39	39	45	34	37	25
Oklahoma	6.7	7.5	8.3	57.4	6.9	6.7	7.0	12.5	21.9	6.6	24.2	14.5	8.3	5.5	0.2	0.5	23.2	0.2	13.2	3.9	8.0	0.6	3.9	1.7	12.5	17.2	16.2	9.3	23.1	13.3	88.6	8	43	43	41	7	12	12	21	10	7	7	9	48	32	24	26	43	28	27	11	29	34	20	23	34	43	44	48	11	43	34
Oregon	5.8	8.2	10.7	59.1	6.0	5.9	6.4	13.4	20.7	5.5	20.8	12.4	9.4	5.4	0.7	1.0	37.7	0.9	13.9	2.5	11.4	2.3	3.8	2.8	13.3	21.3	21.5	36.7	25.0	16.2	91.1	39	37	35	34	40	48	42	5	37	42	41	43	11	37	3	6	8	10	24	32	8	12	21	8	20	20	24	2	6	22	21
Pennsylvania	5.6	11.1	14.4	59.4	6.0	6.3	6.3	11.7	20.8	5.5	20.7	13.8	8.6	6.0	0.6	1.2	30.6	0.1	8.1	1.6	7.2	0.7	1.8	1.4	13.2	19.5	21.9	17.1	15.9	15.7	91.0	41	4	16	30	40	34	45	46	35	42	42	19	40	5	5	3	20	40	48	45	37	30	45	35	22	30	21	30	48	26	23
Puerto Rico	5.0	2.1	1.3	37.6	6.0	6.5	6.9	12.3	25.9	4.0	18.8	11.2	8.6	4.8	null	null	5.8	null	12.3	0.9	null	null	0.3	null	4.3	null	8.5	3.3	null	2.9	null	51	52	52	52	40	22	14	27	1	52	49	50	40	49			52		30	51			52		52		50	52		52	
Rhode Island	5.2	7.7	9.0	60.9	5.6	6.8	7.2	11.7	21.7	5.2	19.4	13.4	9.4	5.3	0.1	0.3	34.7	0.1	5.9	0.9	10.6	1.5	1.0	1.7	13.3	21.0	34.5	30.2	18.0	18.3	89.2	47	39	41	21	49	8	6	46	15	46	47	29	11	42	44	46	13	40	52	51	11	20	51	23	20	21	1	11	43	6	33
South Carolina	6.0	9.1	11.3	56.2	6.3	6.5	6.5	12.1	22.0	5.7	21.8	13.2	9.1	5.7	0.2	0.5	29.9	0.1	18.8	4.0	9.0	0.5	5.9	2.2	12.4	18.2	19.2	14.4	20.6	13.4	88.3	27	28	34	42	30	22	39	36	7	38	35	34	21	19	24	26	23	40	6	8	21	40	5	11	38	38	35	36	30	42	37
