name	rooms_1	rooms_3	rooms_4	units_2	units_3_4	edu_9_less	in_finance	income_mean	job_service	rent_median	ancestry_arab	grapi_35_more	housing_units	units_20_more	ancestry_greek	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	occupied_renter	popestimate2020	popestimate2021	ancestry_italian	ancestry_russian	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	income_200000_more	value_1000000_more	in_education_health	value_500000_999999	ancestry_west_indian	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_units_2	rank_units_3_4	rank_edu_9_less	rank_in_finance	rank_income_mean	rank_job_service	rank_rent_median	rank_ancestry_arab	rank_grapi_35_more	rank_housing_units	rank_units_20_more	rank_ancestry_greek	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_ancestry_italian	rank_ancestry_russian	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_in_education_health	rank_value_500000_999999	rank_ancestry_west_indian
Massachusetts	2.6	10.0	15.7	9.7	10.7	4.2	7.3	115964	16.8	1336	1.0	39.1	2913009	11.2	1.1	2.2	20.2	11.4	5.3	5.0	5.4	11.4	10.1	57737	37.5	7022220	6984723	12.0	1.4	0.4	0.3	31.9	14.3	6.5	28.2	27.8	2.0	15	10	26	3	2	17	9	3	28	7	3	20	16	9	2	7	9	4	4	5	15	12	23	2	8	15	15	4	5	10	20	2	3	5	3	4	4
Michigan	1.5	7.2	13.8	2.3	2.6	2.7	5.6	80803	17.3	892	2.0	39.8	4611913	5.3	0.4	1.3	6.6	1.8	0.6	0.8	7.5	14.7	11.8	42471	28.3	10067664	10050811	4.5	0.6	0.4	0.8	14.6	5.7	0.9	23.4	4.1	0.2	40	33	42	28	48	41	36	32	19	30	1	17	9	31	13	49	34	31	28	24	3	1	9	22	49	10	10	17	27	10	5	21	29	35	28	40	20
Minnesota	2.1	8.8	13.5	2.1	2.0	2.8	7.3	96814	15.8	1010	0.5	36.0	2458030	12.6	0.2	1.6	13.6	3.6	1.1	1.1	4.5	9.7	9.4	48961	28.1	5707165	5707390	2.2	0.7	0.3	0.2	16.1	8.5	1.2	25.5	7.6	0.2	21	20	47	32	52	39	9	14	49	24	17	35	21	6	31	25	21	19	18	15	26	21	31	11	50	22	22	38	24	16	31	19	15	31	11	22	20
Mississippi	1.5	5.7	14.8	2.5	3.1	4.7	4.5	65156	17.8	789	0.3	40.2	1330867	2.4	0.1	1.2	3.4	0.6	0.2	0.1	3.2	7.4	11.5	34304	31.2	2956870	2949965	1.8	0.1	0.0	0.1	4.5	3.4	0.6	25.4	2.4	0.1	40	49	36	23	38	8	49	51	13	47	31	14	33	52	45	51	47	51	49	52	42	37	12	51	37	35	35	45	49	50	44	42	50	46	12	50	36
Missouri	1.8	7.3	15.1	3.3	4.6	2.9	7.1	78194	16.8	843	0.4	36.0	2804664	5.0	0.2	1.8	4.9	1.2	0.4	0.5	4.7	10.0	11.4	40176	32.9	6154481	6168187	3.3	0.4	0.1	0.2	13.8	5.2	0.9	24.1	4.2	0.1	29	32	33	15	14	37	13	37	28	40	22	35	18	34	31	15	41	39	33	40	22	19	14	35	29	19	18	28	34	34	31	22	31	35	23	38	36
Montana	3.0	8.8	16.3	2.8	4.4	1.7	5.4	76834	18.8	836	0.1	35.7	514956	4.0	0.2	1.6	6.2	1.5	0.4	0.8	4.7	9.0	8.4	38332	31.5	1086193	1104271	3.6	0.8	0.3	0.3	13.6	4.7	2.4	23.2	9.5	0.1	9	20	17	20	16	51	41	42	8	41	49	38	44	43	31	25	37	34	33	24	22	26	42	42	36	45	44	24	19	16	20	23	40	15	33	16	36
Nebraska	1.7	7.8	13.8	2.0	2.6	3.8	7.6	82306	15.9	857	0.4	32.9	844248	7.2	0.2	1.8	5.6	1.1	0.3	0.9	4.8	9.5	11.1	40911	33.8	1961455	1963692	2.6	0.5	0.1	0.2	20.1	5.2	0.7	24.5	3.3	0.1	35	27	42	37	48	25	8	30	47	36	22	49	39	22	31	15	40	42	39	21	20	23	17	31	20	38	38	36	31	34	31	11	31	44	19	44	36
Nevada	3.3	10.4	17.7	1.4	6.5	5.3	5.6	84350	25.1	1159	0.4	40.8	1268533	9.4	0.4	1.5	17.9	4.0	0.9	0.7	1.1	2.8	5.8	41103	42.9	3114071	3143991	5.2	0.8	0.2	0.4	1.1	5.9	2.4	16.3	11.3	0.3	8	6	7	51	7	5	36	25	1	15	22	11	35	13	13	36	14	18	22	28	52	52	52	30	4	33	33	14	19	25	11	52	28	15	52	14	16
New Hampshire	1.8	8.8	16.3	5.6	5.4	2.2	6.3	101292	16.0	1145	0.7	36.6	638611	6.8	1.4	1.9	17.0	4.3	1.5	0.8	3.7	6.9	8.7	49178	28.8	1377848	1388992	10.1	0.9	0.4	0.3	19.8	9.7	1.5	24.7	9.2	0.3	29	20	17	7	11	48	24	11	45	17	10	33	42	24	1	12	16	16	16	24	37	42	38	10	45	42	42	7	15	10	20	13	11	23	15	19	16
New Jersey	2.5	10.1	15.2	9.0	6.3	4.7	8.5	117868	15.7	1368	1.2	41.7	3628732	11.2	0.7	2.6	23.4	9.2	3.9	3.5	7.1	14.7	13.3	54975	36.0	9279743	9267130	15.0	1.7	0.7	1.0	18.1	14.8	3.7	24.1	20.9	1.9	17	9	30	4	9	8	4	2	50	5	2	8	11	9	4	5	4	9	6	6	6	1	4	5	12	11	11	3	3	3	2	15	2	9	23	8	5
