name	rooms_8	rooms_9	age_45_54	class_govt	race_black	income_mean	rent_median	units_10_19	rooms_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	income_percapita	units_1_attached	income_200000_more	edu_bachelor_higher	value_300000_499999	income_100000_149999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_age_45_54	rank_class_govt	rank_race_black	rank_income_mean	rank_rent_median	rank_units_10_19	rank_rooms_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_income_percapita	rank_units_1_attached	rank_income_200000_more	rank_edu_bachelor_higher	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_ancestry_subsaharan_african
North Dakota	9.4	17.9	10.6	16.1	3.2	85506	828	5.4	5.6	54353	65315	6.3	1.1	42337	38165	8.6	6.6	4.7	38.3	36289	5.8	6.0	30.7	17.6	17.0	6.3	1.5	21	6	51	13	40	23	42	7	23	22	20	35	42	23	17	49	50	23	25	18	15	25	28	27	16	22	8
Ohio	10.3	13.8	12.7	12.2	12.4	78797	825	3.8	5.9	53293	58116	4.5	1.2	41886	34649	10.9	9.8	3.9	37.6	32465	4.6	5.2	28.9	10.9	14.4	5.6	1.2	12	18	24	45	18	35	43	23	9	25	37	42	39	26	28	32	30	44	30	31	25	31	38	45	37	32	17
Oklahoma	7.5	8.3	11.7	17.0	7.3	74195	818	3.4	5.5	49185	53840	4.5	0.9	36821	32256	9.0	8.7	6.2	35.6	29873	2.0	4.5	26.1	9.3	13.3	4.8	0.6	43	43	42	11	28	44	44	33	32	43	44	42	45	48	41	45	41	9	44	43	49	43	45	48	43	46	40
Oregon	8.2	10.7	12.3	13.8	1.9	88137	1173	3.7	5.4	54792	65667	18.1	5.8	44809	35166	13.1	11.3	4.6	40.4	35393	4.7	7.2	34.4	36.7	16.2	7.0	0.6	37	35	33	31	44	20	14	27	37	20	19	13	14	19	25	15	19	25	15	21	22	19	17	2	22	19	40
Pennsylvania	11.1	14.4	12.9	10.7	11.1	87262	958	2.6	6.0	56266	63627	10.1	3.1	44779	36987	12.8	10.6	4.0	39.9	35518	18.6	7.1	32.3	17.1	15.7	6.7	1.0	4	16	15	51	22	21	26	44	5	18	23	26	24	20	19	17	22	41	17	20	3	20	24	30	26	21	19
Puerto Rico	2.1	1.3	13.1	21.0	11.3	33315	486	3.1	4.8	24088	21058	1.2	0.5	24385	17422	null	10.2	8.7	32.9	13318	11.5	1.0	null	3.3	2.9	0.9	null	52	52	11	5	21	52	52	40	49	52	52	52	52	52	52		26	6	51	52	5	52		52	52	52	
Rhode Island	7.7	9.0	13.2	12.9	6.5	92427	1031	3.8	5.3	59194	70305	12.6	3.3	47939	39410	14.0	10.6	4.0	40.5	37504	3.6	7.7	35.0	30.2	18.3	7.8	3.1	39	41	8	40	29	17	23	23	42	13	16	24	22	14	13	11	22	41	14	13	38	17	14	11	6	15	3
South Carolina	9.1	11.3	12.7	15.0	26.4	76390	918	3.2	5.7	48718	54864	8.1	2.0	37883	31942	10.8	10.5	4.5	35.8	30727	3.2	5.1	29.0	14.4	13.4	5.2	1.0	28	34	24	22	7	43	28	39	19	45	42	30	27	44	45	34	24	28	41	41	43	35	37	36	42	40	19
South Dakota	10.9	17.3	11.0	15.5	2.1	77932	761	4.4	5.8	49358	59896	3.4	0.8	38586	33511	9.2	6.6	4.9	37.3	31415	3.8	4.4	29.3	14.7	15.1	5.1	1.0	6	8	49	18	42	38	49	16	13	41	32	47	47	41	36	44	50	18	34	38	36	45	35	35	29	42	19
Tennessee	9.0	12.3	13.0	13.3	16.7	76937	897	3.8	5.7	48607	54833	8.2	2.0	39132	32742	10.4	9.9	4.2	36.3	30869	3.3	5.1	28.2	15.4	13.3	4.9	1.2	31	26	13	37	11	41	29	23	19	46	43	29	27	39	39	38	29	36	38	40	41	35	40	34	43	44	17
Texas	8.0	10.2	12.4	13.3	12.1	89506	1082	6.0	5.4	51949	63826	14.4	4.2	41687	35003	10.8	11.7	4.0	37.8	32177	2.7	7.8	30.7	17.0	15.6	7.0	1.4	38	36	30	37	19	19	20	3	37	32	22	20	17	27	26	34	15	41	28	35	44	16	28	31	27	19	10
Utah	11.7	25.4	10.3	14.6	1.2	94452	1090	4.2	6.4	56374	74197	15.2	3.5	40326	33419	11.7	12.7	4.7	39.7	30986	6.7	7.0	34.7	35.8	19.2	7.8	0.5	2	1	52	23	49	16	19	18	1	17	13	18	21	34	37	23	10	23	19	39	13	22	15	3	4	15	44
Vermont	9.4	12.1	12.9	14.6	1.3	83767	999	1.8	5.6	52486	63477	12.1	3.3	45695	35246	16.1	9.1	5.0	43.1	35854	4.2	6.0	39.7	23.0	16.4	6.1	0.6	21	29	15	23	48	26	25	50	23	28	24	25	22	17	24	7	38	16	8	19	29	25	7	21	19	26	40
Virginia	10.9	18.4	13.2	20.0	19.0	106023	1257	5.5	6.0	61123	76398	20.8	9.2	48894	40573	17.2	15.9	8.8	45.3	41255	11.1	11.6	39.5	25.4	17.2	9.0	2.3	6	5	8	8	10	8	10	6	5	9	11	7	9	12	9	5	2	4	4	6	6	7	8	16	14	10	5
Washington	9.3	13.3	12.4	15.6	3.9	103669	1337	4.9	5.5	64520	77006	22.7	10.6	50941	41498	13.9	13.6	5.0	42.7	40837	4.0	10.5	36.7	33.2	18.2	8.9	1.3	25	21	30	17	37	10	6	11	32	6	10	5	7	8	6	12	8	16	9	9	34	10	12	8	8	11	13
West Virginia	9.6	11.5	12.9	19.6	3.6	65332	732	1.7	5.8	49375	48037	3.0	0.8	36133	31199	8.6	7.8	6.9	34.2	27346	2.2	3.1	21.3	8.0	11.9	3.9	0.4	18	33	15	9	39	50	51	51	13	40	50	50	47	50	47	49	46	8	49	50	48	51	51	50	49	51	46
Wisconsin	9.0	12.5	12.7	12.3	6.3	82757	872	3.5	5.6	53719	63293	5.7	1.3	42789	36540	10.5	8.6	3.5	37.2	34450	4.2	5.2	30.8	16.5	16.3	6.1	0.5	31	23	24	42	31	29	34	31	23	24	25	39	38	21	20	36	42	49	35	22	29	31	27	33	21	26	44
Wyoming	10.2	15.9	11.4	20.6	0.9	83583	853	2.2	5.8	57399	65304	8.5	1.9	39978	35388	10.5	6.5	5.9	35.9	34415	4.6	5.0	28.2	20.4	17.5	6.2	0.3	14	13	47	6	50	27	38	48	13	16	21	28	29	36	22	36	52	10	40	23	25	37	40	25	13	24	48
