name	age_35_44	grapi_25_29	grapi_30_34	rent_median	value_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	ancestry_swedish	housing_occupied	ancestry_ukranian	units_boat_rv_van	value_300000_499999	value_500000_999999	income_150000_199999	rank_age_35_44	rank_grapi_25_29	rank_grapi_30_34	rank_rent_median	rank_value_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_ancestry_swedish	rank_housing_occupied	rank_ancestry_ukranian	rank_units_boat_rv_van	rank_value_300000_499999	rank_value_500000_999999	rank_income_150000_199999
Georgia	13.2	11.0	9.0	1042	190200	51053	61224	12.8	2.9	0.4	88.5	0.1	0.1	17.4	7.4	6.3	9	48	24	21	29	34	30	23	26	46	23	34	13	29	25	22
Hawaii	12.7	11.6	9.2	1651	636400	53956	83173	20.6	13.8	0.6	85.6	0.1	0.0	21.7	49.2	10.5	15	28	16	1	1	23	5	8	3	34	35	34	30	24	1	3
Idaho	12.6	11.9	8.4	887	235600	49618	58915	7.3	1.4	2.8	88.1	0.3	0.2	24.1	7.9	5.0	17	18	47	31	22	39	35	32	36	6	25	16	3	19	21	43
Illinois	12.9	11.3	8.8	1038	202100	59310	68428	13.6	5.3	1.9	90.9	0.4	0.0	18.8	7.6	7.8	11	43	35	22	26	12	18	21	15	16	5	10	30	26	22	15
Indiana	12.3	11.7	8.9	844	148900	52374	58235	4.5	1.0	0.8	89.6	0.1	0.0	10.3	3.0	5.2	27	24	27	39	46	29	36	42	44	28	17	34	30	47	47	40
Iowa	12.1	11.2	8.0	806	153900	52790	61836	4.5	1.2	2.5	90.5	0.1	0.1	11.6	3.0	5.6	36	44	51	46	43	27	28	42	39	10	9	34	13	43	47	32
Kansas	12.3	11.5	9.0	863	157600	51978	61091	6.3	1.5	2.0	89.2	0.1	0.1	12.7	4.1	5.9	27	36	24	35	42	31	31	35	34	14	19	34	13	40	40	30
Kentucky	12.4	11.7	8.2	783	147100	49210	52238	3.4	0.7	0.4	87.6	0.1	0.1	10.4	3.4	4.5	25	24	50	48	47	42	45	47	50	46	29	34	13	46	43	48
Louisiana	12.6	9.8	8.9	876	168100	52911	50800	6.2	1.6	0.3	84.4	0.0	0.2	12.6	4.2	5.3	17	51	27	32	38	26	48	37	32	48	41	50	3	41	38	38
Maine	11.5	15.2	10.2	873	198000	51630	59489	7.8	1.6	1.6	76.3	0.2	0.0	17.5	5.9	5.5	50	1	1	33	28	33	33	31	32	18	52	25	30	28	33	35
Maryland	12.9	12.3	8.9	1415	325400	66093	87063	27.1	10.8	0.5	90.7	0.3	0.0	34.3	17.8	10.8	11	9	27	4	9	5	2	1	6	40	8	16	30	6	11	1
Massachusetts	12.2	12.3	9.8	1336	398800	71096	84385	20.2	11.4	1.5	90.9	0.4	0.0	35.6	27.8	10.6	32	9	3	7	4	2	4	9	4	20	5	10	30	4	4	2
Michigan	11.7	11.4	8.7	892	162600	54763	59234	6.6	1.8	1.3	86.3	0.4	0.0	13.5	4.1	5.9	46	41	38	30	41	21	34	34	31	23	32	10	30	38	40	30
Minnesota	12.7	12.5	9.4	1010	235700	59850	73382	13.6	3.6	7.3	89.8	0.3	0.0	23.6	7.6	8.2	15	6	11	24	21	11	14	21	19	1	16	16	30	20	22	14
Mississippi	12.5	11.6	8.8	789	125500	45599	46511	3.4	0.6	0.3	83.9	0.0	0.1	7.3	2.4	4.1	21	28	35	47	50	50	51	47	51	48	44	50	13	51	50	49
Missouri	12.2	11.6	8.5	843	163600	50942	57290	4.9	1.2	0.9	87.0	0.1	0.1	12.8	4.2	5.3	32	28	44	40	40	35	39	41	39	26	30	34	13	39	38	38
