name	state	zscore_1_65
Aiken County	South Carolina	
Aitkin County	Minnesota	"{""age_60_64"": ""{county:9.6|state:6.4|us:6.2}"", ""age_65_74"": ""{county:18.7|state:9.1|us:9.4}"", ""age_75_84"": ""{county:11.0|state:4.5|us:4.7}"", ""age_median"": ""{county:55.9|state:38.1|us:38.2}"", ""age_21_over"": ""{county:81.6|state:73.0|us:73.5}"", ""age_62_over"": ""{county:39.0|state:19.6|us:19.6}"", ""age_65_over"": ""{county:33.1|state:15.8|us:16.0}"", ""housing_vacant"": ""{county:55.0|state:10.2|us:11.6}"", ""ancestry_swedish"": ""{county:11.3|state:7.3|us:1.1}"", ""ancestry_norwegian"": ""{county:15.0|state:13.9|us:1.3}""}"
Alachua County	Florida	"{""age_20_24"": ""{county:15.4|state:6.0|us:6.7}"", ""units_3_4"": ""{county:6.3|state:3.9|us:4.3}"", ""units_5_9"": ""{county:8.2|state:4.9|us:4.6}"", ""race_asian"": ""{county:6.1|state:2.8|us:5.6}"", ""units_10_19"": ""{county:9.3|state:5.6|us:4.3}"", ""grapi_35_more"": ""{county:52.3|state:46.8|us:40.0}"", ""units_20_more"": ""{county:11.3|state:13.8|us:9.4}"", ""edu_grad_degree"": ""{county:21.3|state:11.3|us:12.7}"", ""job_bus_sci_art"": ""{county:47.8|state:36.4|us:39.5}"", ""occupied_renter"": ""{county:45.4|state:33.8|us:35.6}"", ""edu_bachelor_higher"": ""{county:44.1|state:30.5|us:32.9}"", ""in_education_health"": ""{county:39.3|state:21.1|us:23.3}"", ""ancestry_west_indian"": ""{county:1.8|state:4.4|us:0.9}""}"
Alamance County	North Carolina	"{""ancestry_scottish_irish"": ""{county:2.8|state:2.3|us:0.9}""}"
Alameda County	California	"{""pop2020"": ""{county:1661584|state:39346023|us:326569308}"", ""rooms_2"": ""{county:6.2|state:4.3|us:2.8}"", ""rooms_3"": ""{county:14.5|state:11.8|us:9.0}"", ""age_25_34"": ""{county:16.7|state:15.3|us:13.9}"", ""age_35_44"": ""{county:15.1|state:13.3|us:12.7}"", ""units_3_4"": ""{county:6.6|state:5.4|us:4.3}"", ""race_asian"": ""{county:31.3|state:14.8|us:5.6}"", ""income_mean"": ""{county:138489|state:111622|us:91547}"", ""rent_median"": ""{county:1904|state:1586|us:1096}"", ""value_median"": ""{county:825300|state:538500|us:229800}"", ""ancestry_arab"": ""{county:0.9|state:0.8|us:0.6}"", ""earnings_male"": ""{county:77844|state:58031|us:54323}"", ""housing_total"": ""{county:605767|state:14210945|us:138432751}"", ""housing_units"": ""{county:605767|state:14210945|us:138432751}"", ""income_median"": ""{county:104888|state:78672|us:64994}"", ""units_20_more"": ""{county:17.2|state:12.6|us:9.4}"", ""in_information"": ""{county:3.6|state:2.9|us:2.0}"", ""rent_1500_1999"": ""{county:22.6|state:23.8|us:14.9}"", ""rent_2000_2499"": ""{county:19.8|state:14.5|us:6.2}"", ""rent_2500_2999"": ""{county:12.9|state:7.6|us:2.6}"", ""rent_3000_more"": ""{county:13.0|state:8.2|us:2.8}"", ""earnings_female"": ""{county:65431|state:50693|us:44220}"", ""earnings_median"": ""{county:52480|state:38176|us:36280}"", ""edu_grad_degree"": ""{county:20.6|state:13.1|us:12.7}"", ""in_professional"": ""{county:20.2|state:13.8|us:11.7}"", ""job_bus_sci_art"": ""{county:51.4|state:40.3|us:39.5}"", ""occupied_renter"": ""{county:46.4|state:44.7|us:35.6}"", ""income_percapita"": ""{county:49883|state:38576|us:35384}"", ""income_200000_more"": ""{county:21.7|state:13.3|us:8.3}"", ""value_1000000_more"": ""{county:31.3|state:16.7|us:3.7}"", ""ancestry_portuguese"": ""{county:1.5|state:0.8|us:0.4}"", ""edu_bachelor_degree"": ""{county:28.1|state:21.6|us:20.2}"", ""edu_bachelor_higher"": ""{county:48.7|state:34.7|us:32.9}"", ""value_500000_999999"": ""{county:52.9|state:37.0|us:12.3}"", ""income_150000_199999"": ""{county:12.6|state:9.4|us:7.1}""}"
Alamosa County	Colorado	"{""age_15_19"": ""{county:9.1|state:6.4|us:6.5}"", ""age_20_24"": ""{county:10.0|state:6.7|us:6.7}"", ""units_5_9"": ""{county:6.5|state:4.5|us:4.6}"", ""units_10_19"": ""{county:7.0|state:5.6|us:4.3}"", ""class_unpaid"": ""{county:2.6|state:0.2|us:0.2}"", ""race_hispanic"": ""{county:47.1|state:21.7|us:18.2}"", ""occupied_renter"": ""{county:45.0|state:33.8|us:35.6}"", ""income_35000_49999"": ""{county:19.5|state:11.0|us:12.0}"", ""ancestry_lithuanian"": ""{county:0.6|state:0.2|us:0.2}""}"
Albany County	New York	"{""units_2"": ""{county:16.3|state:10.1|us:3.5}"", ""age_20_24"": ""{county:10.3|state:6.6|us:6.7}"", ""units_3_4"": ""{county:9.3|state:6.9|us:4.3}"", ""units_5_9"": ""{county:6.3|state:5.1|us:4.6}"", ""race_asian"": ""{county:6.8|state:8.6|us:5.6}"", ""ancestry_arab"": ""{county:0.9|state:0.9|us:0.6}"", ""ancestry_irish"": ""{county:20.5|state:11.1|us:9.7}"", ""rent_1000_1499"": ""{county:40.4|state:26.5|us:30.2}"", ""earnings_female"": ""{county:52226|state:52668|us:44220}"", ""edu_grad_degree"": ""{county:21.4|state:16.5|us:12.7}"", ""in_public_admin"": ""{county:12.5|state:4.8|us:4.7}"", ""job_bus_sci_art"": ""{county:47.2|state:42.6|us:39.5}"", ""occupied_renter"": ""{county:43.9|state:45.9|us:35.6}"", ""ancestry_italian"": ""{county:15.2|state:11.9|us:5.1}"", ""ancestry_ukranian"": ""{county:1.0|state:0.7|us:0.3}"", ""edu_bachelor_higher"": ""{county:43.6|state:37.5|us:32.9}"", ""value_200000_299999"": ""{county:35.8|state:13.5|us:20.0}"", ""ancestry_west_indian"": ""{county:1.5|state:4.0|us:0.9}""}"
Albany County	Wyoming	"{""age_20_24"": ""{county:22.0|state:6.7|us:6.7}"", ""age_25_34"": ""{county:16.5|state:13.5|us:13.9}"", ""units_3_4"": ""{county:7.9|state:4.6|us:4.3}"", ""units_5_9"": ""{county:8.7|state:3.4|us:4.6}"", ""class_govt"": ""{county:30.9|state:20.6|us:13.9}"", ""age_18_over"": ""{county:84.0|state:76.8|us:77.6}"", ""units_10_19"": ""{county:6.6|state:2.2|us:4.3}"", ""grapi_35_more"": ""{county:51.4|state:32.0|us:40.0}"", ""edu_grad_degree"": ""{county:25.5|state:10.5|us:12.7}"", ""job_bus_sci_art"": ""{county:49.1|state:35.9|us:39.5}"", ""occupied_renter"": ""{county:48.0|state:29.0|us:35.6}"", ""ancestry_scottish"": ""{county:3.6|state:3.1|us:1.6}"", ""ancestry_ukranian"": ""{county:1.0|state:0.2|us:0.3}"", ""edu_bachelor_degree"": ""{county:29.8|state:17.7|us:20.2}"", ""edu_bachelor_higher"": ""{county:55.3|state:28.2|us:32.9}"", ""in_education_health"": ""{county:42.4|state:25.1|us:23.3}"", ""value_300000_499999"": ""{county:28.4|state:20.4|us:20.5}""}"
Albemarle County	Virginia	"{""rooms_9"": ""{county:23.6|state:18.4|us:11.8}"", ""age_15_19"": ""{county:9.1|state:6.5|us:6.5}"", ""income_mean"": ""{county:116914|state:106023|us:91547}"", ""rent_median"": ""{county:1349|state:1257|us:1096}"", ""units_10_19"": ""{county:8.1|state:5.5|us:4.3}"", ""value_median"": ""{county:376000|state:282800|us:229800}"", ""ancestry_arab"": ""{county:0.9|state:0.9|us:0.6}"", ""income_median"": ""{county:84643|state:76398|us:64994}"", ""rent_1000_1499"": ""{county:45.1|state:30.1|us:30.2}"", ""rent_1500_1999"": ""{county:26.1|state:20.8|us:14.9}"", ""earnings_female"": ""{county:52317|state:48894|us:44220}"", ""edu_grad_degree"": ""{county:28.3|state:17.2|us:12.7}"", ""in_professional"": ""{county:15.2|state:15.9|us:11.7}"", ""job_bus_sci_art"": ""{county:55.7|state:45.3|us:39.5}"", ""income_percapita"": ""{county:46241|state:41255|us:35384}"", ""units_1_attached"": ""{county:13.5|state:11.1|us:5.9}"", ""income_200000_more"": ""{county:13.2|state:11.6|us:8.3}"", ""edu_bachelor_degree"": ""{county:30.5|state:22.4|us:20.2}"", ""edu_bachelor_higher"": ""{county:58.7|state:39.5|us:32.9}"", ""in_education_health"": ""{county:34.7|state:22.2|us:23.3}"", ""value_300000_499999"": ""{county:32.7|state:25.4|us:20.5}"", ""value_500000_999999"": ""{county:24.7|state:18.0|us:12.3}"", ""income_150000_199999"": ""{county:10.4|state:9.0|us:7.1}""}"
Alcona County	Michigan	"{""rooms_3"": ""{county:12.1|state:7.2|us:9.0}"", ""age_60_64"": ""{county:11.5|state:6.9|us:6.2}"", ""age_65_74"": ""{county:19.8|state:10.1|us:9.4}"", ""age_75_84"": ""{county:11.9|state:4.9|us:4.7}"", ""age_median"": ""{county:58.9|state:39.8|us:38.2}"", ""age_16_over"": ""{county:88.9|state:80.9|us:80.1}"", ""age_18_over"": ""{county:87.2|state:78.3|us:77.6}"", ""age_21_over"": ""{county:85.4|state:74.2|us:73.5}"", ""age_62_over"": ""{county:43.3|state:21.2|us:19.6}"", ""age_65_over"": ""{county:36.2|state:17.2|us:16.0}"", ""age_85_over"": ""{county:4.5|state:2.2|us:2.0}"", ""housing_vacant"": ""{county:54.4|state:13.7|us:11.6}"", ""occupied_owner"": ""{county:88.2|state:71.7|us:64.4}"", ""ancestry_polish"": ""{county:9.8|state:8.0|us:2.7}"", ""ancestry_hungarian"": ""{county:1.2|state:0.8|us:0.4}"", ""ancestry_frenchcanadian"": ""{county:3.5|state:1.5|us:0.6}""}"
